Rank ID,Prototype,Trades,Win %,Net R,Net $ (1 NQ),PF,Max DD (R),Verdict
S4,"Samir — 15m ORB, hold to session close",553,44.85,38.56,62180.0,1.1,-15.92,KEEP — WINNER
S7,TJR — overnight sweep + confirmation,240,42.92,35.28,46465.0,1.23,-11.54,KEEP — #2
S8,Fabio — momentum follow-through proxy,76,44.74,20.31,7760.0,1.15,-12.29,KEEP — #3
S10,Larry — prior-day CLV mean reversion,118,50.85,10.17,16367.5,1.27,-10.03,RECENT ONLY; failed older history
S2,Larry/Hanlin — compression expansion,63,41.27,7.32,11560.0,1.38,-6.36,WEAK / REGIME-SENSITIVE
S3,Dave — break/pullback/continuation,226,36.73,5.94,19875.0,1.12,-26.24,KILL — failed older history
S9,Hanlin — rolling compression breakout,16,25.0,0.2,-1535.0,0.81,-7.19,KILL
S5,Collective — pressure continuation proxy,25,36.0,-1.65,-5250.0,0.75,-4.16,KILL
S6,Rajan — EMA trend pullback,342,35.09,-9.45,-24245.0,0.91,-42.81,KILL
S1,Waqar — prior-day liquidity reaction,209,33.49,-16.28,-38800.0,0.81,-28.59,KILL
